dataset,fastme,mh,gap,time_min,K,lifted_tri,weak_bun,contraction,iterated
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,30,false,false,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,30,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,10,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,10,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,10,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,20,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,20,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,20,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,15,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,15,false,false,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,15,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,10,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,10,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,10,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,20,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,20,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,20,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,30,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,30,false,false,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,30,false,false,true,true
09-M82.txt,0.32700905010645887,0.3267951539726514,0.000654098514208771,5,10,false,false,true,true
09-M82.txt,0.32700905010645887,0.3267951539726514,0.000654098514208771,15,10,false,false,true,true
09-M82.txt,0.32700905010645887,0.3267951539726514,0.000654098514208771,60,10,false,false,true,true
09-M82.txt,0.32700905010645887,0.3263005328758505,0.002166659394832422,5,20,false,false,true,true
09-M82.txt,0.32700905010645887,0.32626893709040733,0.0022632799178205908,15,20,false,false,true,true
09-M82.txt,0.32700905010645887,0.32626893709040733,0.0022632799178205908,60,20,false,false,true,true
09-M82.txt,0.32700905010645887,0.3263672593796012,0.0019626084557865403,5,30,false,false,true,true
09-M82.txt,0.32700905010645887,0.326350264067516,0.0020145804488542482,15,30,false,false,true,true
09-M82.txt,0.32700905010645887,0.3263264444294098,0.0020874213628854056,60,30,false,false,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,5,5,false,true,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,15,5,false,true,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,60,5,false,true,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,5,5,false,true,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,15,5,false,true,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,60,5,false,true,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,5,5,false,true,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,15,5,false,true,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,60,5,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3460682720510166,7.782497781806264e-5,5,10,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3460529967764736,8.433548133882361e-5,15,10,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3460529967764736,8.433548133882361e-5,60,10,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.345846016776207,0.00017255281692035745,5,20,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3455988662487592,0.0002778913085181994,15,20,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.345400206807302,0.0003625623230649552,60,20,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3462328825516656,7.666026434897051e-6,5,30,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3462328825516656,7.666026434897051e-6,15,30,false,true,true,true
04-SeedPlants500.txt,2.34625086897285,2.3458262680087034,0.00018096997629777413,60,30,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,10,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,10,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,10,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,20,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,20,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521081876630859,0.00017417057054588028,60,20,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,5,15,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,15,15,false,true,true,true
05-M43.txt,0.3521695252302241,0.3521695252302241,0.0,60,15,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,10,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,10,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,10,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,20,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,20,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,20,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,5,30,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,15,30,false,true,true,true
06-M62.txt,0.6808473503033444,0.6808473503033444,0.0,60,30,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,10,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,10,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,10,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,20,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,20,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,20,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,5,15,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,15,15,false,true,true,true
07-RbcL55.txt,0.49572125261278843,0.49572125261278843,0.0,60,15,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,10,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,10,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,10,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,5,20,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,15,20,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23969715510981537,3.020746682390631e-5,60,20,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,5,30,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,15,30,false,true,true,true
08-Rana64.txt,0.23970439597240425,0.23970439597240425,0.0,60,30,false,true,true,true
09-M82.txt,0.32700905010645887,0.3267951539726514,0.000654098514208771,5,10,false,true,true,true
09-M82.txt,0.32700905010645887,0.3267951539726514,0.000654098514208771,15,10,false,true,true,true
09-M82.txt,0.32700905010645887,0.3267951539726514,0.000654098514208771,60,10,false,true,true,true
09-M82.txt,0.32700905010645887,0.32637402176439545,0.0019419289522925422,5,20,false,true,true,true
09-M82.txt,0.32700905010645887,0.32630149384240287,0.002163720740528894,15,20,false,true,true,true
09-M82.txt,0.32700905010645887,0.32630149384240287,0.002163720740528894,60,20,false,true,true,true
09-M82.txt,0.32700905010645887,0.3268326260057199,0.0005395083123281929,5,30,false,true,true,true
09-M82.txt,0.32700905010645887,0.3265513987067055,0.0013995068320107808,15,30,false,true,true,true
09-M82.txt,0.32700905010645887,0.3263230927329058,0.002097670915620765,60,30,false,true,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,5,5,true,false,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,15,5,true,false,true,true
01-Primates12.txt,0.19594466640625002,0.19594466640625002,0.0,60,5,true,false,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,5,5,true,false,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,15,5,true,false,true,true
02-M17.txt,0.15860070835937506,0.15860070835937506,0.0,60,5,true,false,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,5,5,true,false,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,15,5,true,false,true,true
03-M18.txt,0.2519759761328124,0.2519759761328124,0.0,60,5,true,false,true,true
